year,zip_source,file_name,file_extension,category,size_kb,modified_date,local_path
2025,Banco de Datos_KpRCy.zip,Banco de Datos.xlsx,.xlsx,4_Microdatos_Frecuencias,527.77,2025-11-14,data\classified\2025\4_Microdatos_Frecuencias\Banco de Datos.xlsx
2025,Carta  - AR_zrWHZ.zip,Carta  - AR.pdf,.pdf,1_Metodologia_Instrumentos,417.16,2025-08-15,data\classified\2025\1_Metodologia_Instrumentos\Carta  - AR.pdf
2025,Cronograma de campo EPEC-AR_g7VmD.zip,Cronograma de campo EPEC-AR.xls,.xls,2_Operacion_Campo_Muestreo,47.5,2025-08-08,data\classified\2025\2_Operacion_Campo_Muestreo\Cronograma de campo EPEC-AR.xls
2025,Cuestionario CIER_2025_ARGENTINA_CzIR8.zip,Cuestionario CIER_2025_ARGENTINA.pdf,.pdf,1_Metodologia_Instrumentos,655.91,2025-08-14,data\classified\2025\1_Metodologia_Instrumentos\Cuestionario CIER_2025_ARGENTINA.pdf
2025,Cuestionario CIER_2025_ARGENTINA_uMBx9.zip,Cuestionario CIER_2025_ARGENTINA.pdf,.pdf,1_Metodologia_Instrumentos,655.91,2025-08-14,data\classified\2025\1_Metodologia_Instrumentos\Cuestionario CIER_2025_ARGENTINA.pdf
2025,Dicionario de Datos_CuyPI.zip,Dicion rio de Datos.xlsx,.xlsx,3_Diccionarios_Metadatos,64.38,2025-11-14,data\classified\2025\3_Diccionarios_Metadatos\Dicion rio de Datos.xlsx
2025,EPEC-AR - 20% Catastro de encuestados_j2cqm.zip,EPEC-AR - 20% Catastro de encuestados.xls,.xls,2_Operacion_Campo_Muestreo,72.0,2025-10-13,data\classified\2025\2_Operacion_Campo_Muestreo\EPEC-AR - 20% Catastro de encuestados.xls
2025,Entrenamiento EPEC-AR_segunda capacitacion_G2mv3.zip,Entrenamiento EPEC-AR_segunda capacitaci¢n.xls,.xls,2_Operacion_Campo_Muestreo,47.0,2025-09-03,data\classified\2025\2_Operacion_Campo_Muestreo\Entrenamiento EPEC-AR_segunda capacitaci¢n.xls
2025,Entrevistador EPEC-AR_H5pxN.zip,Entrevistador EPEC-AR.xls,.xls,2_Operacion_Campo_Muestreo,54.0,2025-09-09,data\classified\2025\2_Operacion_Campo_Muestreo\Entrevistador EPEC-AR.xls
2025,Inf Comp Paises 2025 - EPEC-AR_cP8Er.zip,Inf Comp Paises 2025 - EPEC-AR.pdf,.pdf,5_Informes_Presentaciones,8487.88,2025-11-14,data\classified\2025\5_Informes_Presentaciones\Inf Comp Paises 2025 - EPEC-AR.pdf
