area,sigla,tipo,epec_2025,epec_2026,epec_iaop,avg_500k_2025,avg_500k_2026,cier_total_2026,benchmark_500k_2026,posicion_relativa,estado
Suministro de Energía,SE,IDAR,75.79,78.48,+3.56%,76.5,77.8,78.2,88.2,Superior al Promedio >500k (+0.68 pts),Fortaleza
Continuidad (Sin interrupciones),IDAT,IDAT,83.52,85.92,+2.87%,82.1,84.3,84.8,92.4,Superior al Promedio >500k (+1.62 pts),Fortaleza Destacada
Calidad de Tensión (Sin variaciones),IDAT,IDAT,73.4,77.4,+5.46%,74.8,76.2,76.9,87.5,Superior al Promedio >500k (+1.20 pts),Fortaleza
Rapidez de Restablecimiento,IDAT,IDAT,70.42,72.12,+2.41%,72.6,73.5,74.1,84.7,En línea con el Promedio (-1.38 pts),Aceptable
Factura de Energía,FE,IDAR,70.21,70.38,+0.24%,71.9,72.4,73.1,84.6,Cercano al Promedio (-2.02 pts),Aceptable
Canales Digitales de Pago,IDAT,IDAT,89.4,89.2,-0.22%,86.5,88.1,88.5,94.8,Superior al Promedio >500k (+1.10 pts),Fortaleza Destacada
Atención al Cliente,AT,IDAR,66.63,68.1,+2.20%,69.2,70.5,71.4,82.7,Brecha en reducción (-2.40 pts),En Crecimiento
Calidad de Atención Recibida,IDAT,IDAT,75.22,77.63,+3.21%,76.8,78.1,79.0,89.1,En línea con el Promedio (-0.47 pts),Aceptable
Imagen Corporativa,IM,IDAR,56.54,60.53,+7.05%,62.1,63.8,64.5,79.4,Fuerte avance (+3.99 pts),En Crecimiento
Compromiso Medioambiental,IDAT,IDAT,56.31,63.46,+12.70%,61.4,63.2,64.0,80.5,Superior al Promedio >500k (+0.26 pts),Fortaleza en Evolución
Información y Comunicación,IC,IDAR,46.46,52.03,+11.99%,55.8,57.4,58.2,71.3,Mayor aceleración (+5.57 pts),Oportunidad Prioritaria
Responsabilidad Socioambiental,RSA,IDAR,55.34,59.57,+7.65%,58.6,60.9,61.8,76.8,Cercano al Promedio (-1.33 pts),En Crecimiento
ISCAL (Calidad Percibida Global),ISCAL,Global,63.69,65.96,+3.56%,68.4,70.15,71.2,83.1,Brecha reducida de 4.71 a 4.19 pts,En Crecimiento
Aprobación del Cliente (IAC),IAC,Global,75.68,77.6,+2.54%,76.9,78.5,79.4,89.6,A 0.90 pts del Promedio Gran Porte,Aceptable / Crecimiento
Excelencia en Calidad (IECP),IECP,Global,21.61,27.15,+25.65%,29.8,32.5,33.8,52.3,Gran salto de +5.54% promotores,En Crecimiento
Insatisfacción en Calidad (IICP),IICP,Global,17.66,15.19,-13.97%,14.5,13.2,12.8,4.1,Reducción favorable de detractores,Mejora Continua
