Unnamed: 0,Satisfacción - Escala en 10 puntos (%),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Sigla,Tipo,,Descripción resumida,Descripción completa,1,2,3,4,5,6,7,8,9,10,NS/NR,Total,Base,Promedio,Índice
,IAC,-,,Índice de aprobación del cliente,Índice de aprobación del cliente,0.96,0.8,0.8,1.44,8,10.4,23.2,25.28,16.48,12.64,0,100,625,7.5248,77.6
,SE,IDAR,,Suministro de energía,Suministro de energía,1.0666666666666667,0.6933333333333334,1.6,4.053333333333334,6.293333333333333,7.786666666666667,20.533333333333335,26.24,17.76,13.866666666666667,0.10666666666666667,100,1875,7.546182594768,78.483715963695
,,IDAT,,Sin interrupción,"Suministro de energía sin interrupción, es decir, que no falte energía en su domicilio",0.48,0.48,2.24,2.08,3.36,5.44,18.88,26.88,20.96,19.2,0,100,625,7.9376,85.92
,,IDAT,,Sin variación de voltaje,"Suministro de energía sin variación de voltaje en su domicilio, es decir, sin bajones o parpadeos",1.44,0.96,1.28,5.44,7.04,6.4,18.08,25.28,20.32,13.6,0.16,100,625,7.514423076923,77.403846153846
,,IDAT,,Rapidez en la reanudación de la energía cuando falta,"Agilidad en la reanudación/restablecimiento del servicio eléctrico cuando falta, es decir, el tiempo que tarda en volver la energía en su domicilio",1.28,0.64,1.28,4.64,8.48,11.52,24.64,26.56,12,8.8,0.16,100,625,7.185897435897,72.115384615385
,IC,IDAR,,Información y comunicación,Información y comunicación,6.976,3.84,6.048,8.032,10.304,10.496,14.464,16.96,8.768,9.376,4.736,100,3125,6.183070204904,52.032247228754
,,IDAT,,Notificación de interrupción,Comunicación previa en el caso de interrupciones debido a mantenimiento programado para mejora en la red,5.28,3.2,6.24,6.4,9.76,9.6,15.04,20.48,11.04,11.36,1.6,100,625,6.549593495935,58.861788617886
,,IDAT,,Uso eficiente,"Orientaciones brindadas por la distribuidora respecto al uso eficiente de la energía, para que no se desperdicie",6.08,2.24,5.28,6.08,11.2,9.76,18.88,17.6,9.12,10.08,3.68,100,625,6.448504983389,57.8073089701
,,IDAT,,Riesgos y peligros,Orientaciones brindadas por la distribuidora respecto a los riesgos eléctricos y peligros en el uso de la energía eléctrica,7.2,3.84,5.76,8.96,10.24,11.36,13.12,15.04,8.8,10.56,5.12,100,625,6.158516020236,50.084317032041
,,IDAT,,Derechos y deberes,Orientaciones brindadas por la distribuidora respecto a sus derechos y deberes como cliente de energía eléctrica,7.36,4.8,6.24,8.64,10.24,10.88,12.16,15.84,8.16,8.96,6.72,100,625,6.020583190395,48.370497427101
,,IDAT,,Medición del consumo de energía(1),"Informaciones brindadas por la distribuidora respecto a la medición del consumo de energía (ej.: cómo se hace, cómo leer el medidor) (1)",8.96,5.12,6.72,10.08,10.08,10.88,13.12,15.84,6.72,5.92,6.56,100,625,5.710616438356,44.520547945206
,,🆕,IDAT,Comunicación por diferentes medios(2),"Comunicación de información importante a través de diferentes medios (WhatsApp, página web, SMS, radio, internet, televisión o la factura de electricidad)(2)",3.84,2.72,3.2,6.56,8.96,9.92,19.68,18.08,10.56,12.48,4,100,625,6.788333333333,63.333333333333
,,🆕,IDAT,Facilidad de comprensión de la información dada(2),Facilidad de comprensión de la información dada por la distribuidora a los clientes (lenguaje sencillo utilizado en las orientaciones y en las aclaraciones brindadas a los clientes)(2),4.8,1.6,1.92,6.56,7.36,9.76,18.24,21.12,13.44,12,3.2,100,625,6.952066115702,66.942148760331
